adapter,ccd_relationship,maturity,state_or_use,next_gate,hard_boundary
Graphics and game engines,Literal CCD,D2 executable scaffold,"Rigid/deformable geometry, ray/SDF scenes",Exact/inclusion CCD datasets; response integration; GPU equivalence,Parity/golden/Klein are optional scheduling metadata
Robotics and public safety,Literal CCD,D1 architecture map,Robot/vehicle swept geometry and motion plans,"Certified motion bounds, sensor uncertainty, safe stop, governance","No automated identity, suspicion, or use-of-force authority"
"Measurement, sensors, actuators",Literal contact plus boundary-event reuse,D1 contract,"Transducer state, calibration, moving mechanism envelopes","Traceability, uncertainty budget, actuator dynamics, hardware-in-loop tests","SDF is a calibrated geometric model, not the material itself"
SAR and wave sensing,Boundary-event reuse,D0-D1 hypothesis,"Complex echo, platform motion, phase/focus residual",Measured focus metrics against established autofocus baselines,A focus zero set is not a rigid-body collision
GPU and edge AI,Scheduling analogy plus literal CCD acceleration,D1 design,"Batched pair state, queues, optional learned proposals","Exact replay, no-false-negative broad phase, quality/performance baseline",Learned or parity proposals may not prune safety candidates
Optical and photonic computing,Operator-equivalence research,D0-D1 hypothesis,"Optical field, transfer matrix, phase/amplitude/polarization","Calibrated transfer error, drift, bandwidth, energy, repeatability","Propagation direction is causal order, not zero latency"
Quantum and cross-Kerr,Research hypothesis,D0,"Hamiltonian/channel, preparation, measurement, resource count","Gate/process tomography, noise model, fidelity, classical baseline",Ideal cross-Kerr parity is not assumed in biology or hardware
Chemical reaction networks,Boundary-event reuse,D0-D1 hypothesis,"Concentrations, stoichiometry, kinetics, diffusion, thermodynamics","Mass/charge balance, calibrated rate laws, reactor experiments",Equilibrium is not automatically an SDF and parity is not universal
Biology and medicine,Simulation-only boundary events,D0,"Anatomy, biomechanics, physiology, uncertainty",Preclinical/clinical evidence and regulatory pathway for any intervention,"No treatment, regeneration, dementia reversal, or crash-immunity claim"
Fabrication and 3D photonics,Literal geometry checks plus design rules,D1 map,"Curvilinear masks, waveguides, process windows, tool paths","PDK/DRC compliance, optical simulation, metrology, fabricated test coupons",Polar coordinates do not bypass fabrication tolerances
Cosmology and holography,Analogy only,D0,Specified bulk/boundary theories and observables,Derive a real duality and compare predictions,SDF boundaries and projection do not establish AdS/CFT-like holography
